subject_fingerprint,execution_fingerprint,einher_fingerprint,asset,timeframe,direction,calibrated_on,profile,conditions,edge,calibration,selected,weight,capital,rank,rejection_reasons,source_kind,metadata,created_at,is_final,short_fingerprint
e7bae01c800e0e900650e1c92deaa78bfb7a555ca849b1805ea824cd4e3a1494,30768dff2088a99ee828b0cff152b1a8120e14aa00bd85016592db2a8ce3ae1d,e7bae01c800e0e900650e1c92deaa78bfb7a555ca849b1805ea824cd4e3a1494,gbpusd,15m,long,,"{'name': 'execution_profile', 'description': 'long | trades=46716 | win_rate=7.55% | pf=0.48', 'family': 'momentum'}","[{'left': {'name': 'stoch_k_norm', 'column_index': 195, 'family': 'momentum'}, 'operator': '>=', 'right': {'type': 'feature', 'name': 'momentum_20_norm', 'column_index': 201}}]","{'score': 0.0, 'win_rate': 0.07554157033992637, 'profit_factor': 0.4754129838866051, 'expectancy': -0.00015323752057371857, 'total_pnl': -7.158644011121837, 'trade_count': 46716, 'sharpe_per_trade': -0.1807582918696199, 'p_value': 0.0}","{'direction': 'long', 'best_horizon': 1, 'mfe_p50': 0.0, 'mfe_p75': 0.0, 'mfe_p90': 0.00013268232578411698, 'mae_p50': 0.0, 'mae_p75': 0.0, 'mae_p90': 0.0, 'mfe_p75_pct': 0.0, 'mae_p90_pct': 0.0, 'tp_rule': {'type': 'mfe_calibrated', 'percentile': 75, 'value': 0.0}, 'sl_rule': {'type': 'mae_calibrated', 'percentile': 90, 'value': 0.0}}",False,0.0,0.0,0,"['win_rate_too_low', 'profit_factor_too_low', 'expectancy_too_low', 'total_pnl_too_low']",portfolio_selection_rejected,"{'run_id': 'run_20260728_012324', 'asset': 'GBPUSD', 'timeframe': '15m'}",2026-07-28T01:25:45.184214+00:00,False,e7bae01c800e
a8b9c91edce9927390259cbda6f34564879055bc6a9d2a1f2e4bc95b8fa7f959,f04f7fa3b4f335033b1352f373a0858b4253a61dd261950332473d6d7bbeff49,a8b9c91edce9927390259cbda6f34564879055bc6a9d2a1f2e4bc95b8fa7f959,gbpusd,15m,long,,"{'name': 'execution_profile', 'description': 'long | trades=35608 | win_rate=3.61% | pf=0.12', 'family': 'microstructure'}","[{'left': {'name': 'quant_kyles_lambda', 'column_index': 82, 'family': 'microstructure'}, 'operator': '<', 'right': {'type': 'feature', 'name': 'chaikin_oscillator', 'column_index': 48}}]","{'score': 0.0, 'win_rate': 0.036143563244214784, 'profit_factor': 0.12435102073802722, 'expectancy': -0.0004249610732386453, 'total_pnl': -15.132013895881682, 'trade_count': 35608, 'sharpe_per_trade': -0.4186590072498693, 'p_value': 0.0}","{'direction': 'long', 'best_horizon': 1, 'mfe_p50': 0.0, 'mfe_p75': 0.0, 'mfe_p90': 0.000489195494446903, 'mae_p50': 0.0, 'mae_p75': 0.0, 'mae_p90': 0.0017268050578422844, 'mfe_p75_pct': 0.0, 'mae_p90_pct': 0.0022980837849900125, 'tp_rule': {'type': 'mfe_calibrated', 'percentile': 75, 'value': 0.0}, 'sl_rule': {'type': 'mae_calibrated', 'percentile': 90, 'value': 0.0017268050578422844}}",False,0.0,0.0,0,"['win_rate_too_low', 'profit_factor_too_low', 'expectancy_too_low', 'total_pnl_too_low']",portfolio_selection_rejected,"{'run_id': 'run_20260728_012324', 'asset': 'GBPUSD', 'timeframe': '15m'}",2026-07-28T01:25:45.184334+00:00,False,a8b9c91edce9
